Individual_NPI	Provider_Name_On_Roster
1347113064	Roxanne Ackerman
1347516753	Katherine Boucher
1347553236	Nathaniel Lambert
1352457869	Richard Murphy
1356532394	Terry Watkins
1357790322	Isaac Marquez
1361319142	Julie Ashby
1364844138	Tobias Odom
1367359084	Reed Bramwell
1374457582	Janet Zielinski
1384331009	Preston Hunt
1384792515	Dennis Fisher
1386136331	Roberta Griffith
1388074407	Grace Lambert
1390583718	Frank Townsend
1394952547	Daniel Herrera
1398028195	Nathaniel Ellis
1401794825	Anna Mallory
1411645371	Randall Larson
1411666872	John Rangel
1413044979	Dean Lyons
1414806194	Dorothy Ulrich
1429354040	Mark Wallace
1430820419	Stephanie Sullivan
1441186297	Anthony Hitchens
1441434754	Hannah Sloan
1442301432	Edward Lawrence
1445145166	Nancy Sloan
1448622062	Randal Sturm
1448808075	Judith Tucker
1449628829	Patricia Whitfield
1450036490	Sharon Dorsey
1455327548	Reuben Zamora
1473953671	Melissa Vantrease
1474281270	Naomi Wolfe
1476306448	Roxanne Norquist
1477945111	Hope Whitfield
1488462775	Charity Norton
1492318724	Roxanne Gallagher
1495113403	Karl Maldonado
1499668899	Constance Slater
1503703955	Reuben Rivera
1504059936	Elizabeth Jenkins
1505918908	Emmett Whitfield
1507591315	Terri Sinclair
1515359085	Marcus Kirby
1517052365	Roberta Vance
1520794078	Renee Norquist
1522639057	Amanda Oliver
1528844610	Tiffany Carmody
1529866232	Laura Foster
1529871182	Rosalind Franklin
1535986842	Patrick Nakamura
1539440952	Reed Sterling
1540627670	Dean Wolfe
1555356959	Elliot Nichols
1565322280	Roger Jarvis
1568582153	Heath Quimby
1574408021	Elliot Wilkerson
1578967527	Steven Norquist
1581030222	John Griffith
1594078168	Deborah Fenwick
1596289623	Bernice Trask
1596527071	Elizabeth Grant
1596751028	Morgan Zamora
1603084892	Marvin Standish
1611015722	Drew Latham
1616781443	Roberta Herrera
1617198092	Vanessa Fleming
1619883352	Diane Callahan
1621717093	Trevor Douglas
1626358059	Naomi Hamilton
1628724894	Shirley Marchetti
1633277102	Cynthia Ramseyer
1633529551	Katherine Castellano
1645911037	Emily Singleton
1648703662	Chloe Franklin
1652021795	Kelly Dawson
1661395321	Damon Fletcher
1662903602	Jerry Ford
1666457811	Molly Wynn
1667507879	Kevin Emerson
1668436169	Richard Pemberton
1673685784	Barbara Emerson
1674392794	Heath Corliss
1677231221	Wayne Solis
1686253745	Evan Fleming
1693473609	Lauren Hunt
1695470348	Lawrence Henderson
1700413648	Taylor Wagner
1724126986	Kyle Maddox
1724210608	Tara Osborne
1726531910	Terri Sabine
1727603130	Rosalind Bailey
1737679500	Erin Whitfield
1739106494	Jessica Jessup
1742990603	Terri Salazar
1743903522	Grace Sparks
1748919374	Blake Waters
1752553416	George Halloran
1753663164	Angela Cortesi
1758268829	Isaac Vaughan
1760964316	Ford Sloan
1763154147	Craig Mallory
1764991000	Carol Renauld
1765073907	Kathleen Coleman
1766835825	Wallace Kimura
1768694584	Yolanda Alcott
1771566068	Estelle Yardley
1777264064	Morgan Hopkins
1780456590	Lucas Osterman
1784126363	Stephanie Woodard
1785377874	Emmett Reyes
1786150866	Erin Warner
1787968845	Dean Gilbert
1788800583	Stephen Walters
1789735937	Nolan Zeller
1790459998	Jason Munoz
1794026546	Joseph Bellinger
1796437584	Sabrina Whitfield
1797155326	Stephanie Hudson
1801689096	Lucas Payne
1803406697	Julia Yardley
1804575284	Randall Chandler
1810316814	Ashley Jenkins
1810697890	Regina Holt
1821599564	Barbara Torres
1821805185	Cynthia Ferguson
1824004786	Dennis Farley
1846961609	Larry Farkas
1847799867	Cynthia Hudson
1855265819	Gary Stephens
1859027249	Susan Godwin
1859744660	Nathaniel Munoz
1863581397	Heath Short
1870299272	Marvin Villegas
1872398346	Tiffany Mccarthy
1875110292	Barbara Trask
1877728208	Terry Owens
1878259963	Isabella Shepherd
1882653391	Heather Osterman
1882934866	Grant Horton
1885707582	Ulysses Livingston
1887562548	Ellen Walters
1890838638	Joseph Restrepo
1896322470	Constance Herrera
1897843029	Denise Bramwell
1901939722	Douglas Stark
1916567617	Vincent Johnston
1917002945	Rita Osborne
1932112539	Elliot Torres
1935575476	Laura Daniels
1938166620	Bernice Dorsey
1949828887	Ruth Gonzalez
1955733054	Rosalind Watkins
1963179910	Vanessa Porter
1964801280	Glenn Spence
1965725934	Lorraine Mayer
1970375840	Ruth Jessup
1974030334	Marcus Chen
1974038659	Mark Ashworth
1975447222	Judith Townsend
1976905970	Craig Willoughby
1980055051	Mark Jarvis
1981767118	Betty Leblanc
1984911523	Zoe Snow
1985698566	Terri Callahan
1987432493	Anthony Schneider
1991899398	Betty Perry
1993904915	Aaron Quinn
1999157096	Jason Rios
